,shot,time,time_until_disrupt,ip,Wmhd,n_e,kappa,li
0,1150805013,0.05999999865889549,,-269384.705112176,-7217.2509765625,3.0840644999491777e+19,1.05329477787018,1.52270913124084
1,1150805014,0.05999999865889549,,-262156.8221853,-6645.87890625,3.7685812762960085e+19,1.05155313014984,1.54010713100433
2,1150805012,0.05999999865889549,1.2361000776290894,-246348.277068723,-5298.5654296875,4.083796587290144e+19,1.04805183410645,1.57662785053253
3,1150805015,0.05999999865889549,1.6629000902175903,-255915.493945051,-6255.3349609375,3.589878070223738e+19,1.05193364620209,1.5272182226181
4,1150805016,0.05999999865889549,1.6303000450134277,-236969.34375,-6172.76318359375,3.2861416688482447e+19,1.04813849925995,1.62665092945099
5,1150805017,0.05999999865889549,1.6101000308990479,-252775.876758424,-5054.99755859375,3.610426261666157e+19,1.05184316635132,1.45601677894592
6,1150805019,0.05999999865889549,1.5577000379562378,-262168.095508424,-6137.908203125,3.371957207083652e+19,1.0534770488739,1.45895648002625
7,1150805020,0.05999999865889549,1.6921000480651855,-257006.359146248,-5935.59814453125,3.7477961178562126e+19,1.0531439781189,1.49098265171051
8,1150805021,0.05999999865889549,1.5845000743865967,-247446.286845699,-4639.5068359375,3.998098982082545e+19,1.05072319507599,1.49300789833069
9,1150805022,0.05999999865889549,1.1469000577926636,-222714.236133424,-3724.49755859375,3.562078110142971e+19,1.04093933105469,1.60682559013367
10,1150805012,0.07999999821186066,1.2160999774932861,-272024.710683681,-2549.10595703125,5.764221831420869e+19,1.2046502828598,1.54247283935547
11,1150805022,0.07999999821186066,1.1268999576568604,-247768.554425531,-890.0784301757812,5.239318366023605e+19,1.22285103797913,1.49891114234924
12,1150805013,0.07999999821186066,,-303994.929279993,-3832.99951171875,4.487748020971359e+19,1.20478856563568,1.35640752315521
13,1150805021,0.07999999821186066,1.5644999742507935,-273282.398332712,-1113.87744140625,5.525172823998228e+19,1.21606159210205,1.41107547283173
14,1150805020,0.07999999821186066,1.6720999479293823,-281278.812139065,-1564.2574462890625,5.412881467205763e+19,1.20693051815033,1.35410380363464
15,1150805019,0.07999999821186066,1.5376999378204346,-293328.663599106,-2129.51220703125,4.8777970366922285e+19,1.20531940460205,1.31978142261505
16,1150805017,0.07999999821186066,1.5900999307632446,-281901.984069952,-835.9157104492188,5.146414695171627e+19,1.21090173721313,1.31902527809143
17,1150805016,0.07999999821186066,1.6102999448776245,-265307.5,-2191.607666015625,4.880136453049288e+19,1.22968971729279,1.44011807441711
18,1150805015,0.07999999821186066,1.642899990081787,-285816.288652664,-1852.012451171875,5.1841219429979685e+19,1.21140110492706,1.3948529958725
19,1150805014,0.07999999821186066,,-290345.593389065,-3393.865478515625,5.3106686209997636e+19,1.19892740249634,1.4288923740387
20,1150805013,0.09999999403953552,,-338760.718228468,-4074.9296875,5.5894363532404195e+19,1.67605078220367,1.43003213405609
21,1150805014,0.09999999403953552,,-330280.265259462,-2323.57421875,6.3588155669691695e+19,1.65269529819489,1.46710705757141
