shot,time,time_until_disrupt,n_e,ip,li,Wmhd,kappa
1150612032,0.05999999865889549,,3.757528045776519e+19,-344655.382491199,1.35463011264801,-12298.587890625,1.13040494918823
1150501008,0.05999999865889549,1.6951000690460205,2.895696502418504e+19,-349670.80799655,1.72030115127563,-20922.552734375,1.10782635211945
1150903001,0.05999999865889549,,4.016016372785522e+19,-352597.44289052,1.65804779529572,-18602.263671875,1.09919488430023
1150929007,0.05999999865889549,1.4195001125335693,2.587162926296168e+19,349444.007606448,1.9619345664978,-24640.69921875,1.10818386077881
1150717005,0.05999999865889549,,4.452825437995831e+19,-290723.1756206,2.0476450920105,-14418.11328125,1.10181140899658
1150710005,0.05999999865889549,2.0253000259399414,1.8813604398510182e+19,-246439.126987176,1.93287742137909,-10855.865234375,1.09409999847412
1150723006,0.05999999865889549,,2.790796422581837e+19,-361470.773117945,1.48817849159241,-13594.56640625,1.10814344882965
1140211021,0.05999999865889549,1.4793000221252441,2.951690421908852e+19,327665.75,1.5648895502090454,-13476.107421875,1.13650381565094
1150717018,0.05999999865889549,,4.31548585791421e+19,-359119.130732775,1.7839423418045,-18824.970703125,1.09694981575012
1140714005,0.05999999865889549,,3.088814915055308e+19,-363516.375,1.6106712818145752,-18630.015625,1.1115673780441284
1150623001,0.05999999865889549,,3.1634664299811844e+19,-345114.852884374,1.5926319360733,-18208.216796875,1.11316192150116
1140814019,0.05999999865889549,1.571700096130371,3.752200417822795e+19,-361101.3125,1.707985281944275,-18821.9609375,1.1045125722885132
1140213021,0.05999999865889549,,2.9086370650023526e+19,347675.125,1.336406707763672,-8097.42041015625,1.1550039052963257
1140220023,0.05999999865889549,1.7391000986099243,2.7449294593288307e+19,304274.125,1.3242454528808594,-7803.5654296875,1.2187318801879885
1140204021,0.05999999865889549,1.741900086402893,2.87668833573174e+19,330445.0625,1.5947221517562866,-13653.43359375,1.1386393308639526
1150804003,0.05999999865889549,,3.4516291218995814e+19,-352226.978114872,1.56163954734802,-17472.263671875,1.12017023563385
1140711013,0.05999999865889549,,3.3848008064247005e+19,-351456.375,1.6545463800430298,-17426.228515625,1.111377835273743
1140805023,0.05999999865889549,,3.2853464612551524e+19,-260201.9375,1.6504011154174805,-7356.0390625,1.041325926780701
1140826022,0.05999999865889549,,2.7323277366605644e+19,-335000.0,1.7853964567184448,-19847.724609375,1.1104387044906616
1160405026,0.05999999865889549,1.6777000427246094,2.67102116731903e+19,-306928.9375,1.9407377243041992,-16588.33984375,1.10701584815979
1150812008,0.05999999865889549,1.5605000257492065,3.2019119558885745e+19,-337800.900103375,1.29316008090973,-13833.3935546875,1.13681674003601
1160706031,0.05999999865889549,,2.8808033679498543e+19,-318298.46875,1.3402948379516602,-9876.1796875,1.151970148086548
1140212016,0.05999999865889549,,1.3698559184251912e+19,334373.78125,1.440298318862915,-11167.017578125,1.1403524875640867
1140228026,0.05999999865889549,1.484100103378296,4.1876699144872e+19,327064.0,1.5933178663253784,-11882.953125,1.1413817405700684
1120118030,0.05999999865889549,1.0007001161575317,6.431618775345476e+19,-158728.546875,2.939445734024048,665.4686279296875,1.306822657585144
1160701030,0.05999999865889549,,3.5260851918636843e+19,-361865.28125,1.7780791521072388,-21594.9921875,1.0954241752624512
1160620016,0.05999999865889549,,3.517102841571731e+19,-318739.75,1.918194055557251,-15315.9091796875,1.1053122282028198
1160420033,0.05999999865889549,,2.571600027400641e+19,-215405.53125,2.3506743907928467,-6600.50146484375,1.181735277175903
1140714027,0.05999999865889549,,2.7074866903565468e+19,-345517.9375,1.7143031358718872,-18573.109375,1.1079562902450562
1160712013,0.05999999865889549,,3.336282217021178e+19,-327968.8125,1.7360684871673584,-16901.255859375,1.102545142173767
1140328025,0.05999999865889549,1.1863000392913818,2.994557521545606e+19,336571.875,1.2249525785446167,-8796.9853515625,1.164859652519226
1140408029,0.05999999865889549,1.7017000913619995,4.698921270975136e+19,359826.3125,1.3986791372299194,-10189.037109375,1.14417564868927
1120224020,0.05999999865889549,,3.0122260136969896e+19,-334583.625,1.7464070320129395,-17385.5234375,1.1437478065490723
