shot,time,time_until_disrupt,aminor,n_e,ip,delta,li,Wmhd,kappa,label
1150805012,0.05999999865889549,1.2361000217497349,0.22160044312477112,2.4502780975095034e+19,-246348.27706872346,0.13142076134681702,1.5715389251708984,-5308.55224609375,1.048575758934021,
1150805012,0.07999999821186066,1.2161000221967697,0.23085580745513667,3.4585332879683645e+19,-272024.71068368107,0.2241284504672656,1.5444347858428955,-2584.037109375,1.20462167263031,
1150805012,0.09999999403953552,1.1961000263690948,0.2238818558698199,4.077267214291394e+19,-314460.39787289524,0.48953897542136815,1.530106782913208,-782.5938720703125,1.6190297603607178,
1150805012,0.11999999731779099,1.1761000230908394,0.20425742840962613,4.077218219570915e+19,-345011.0040360509,0.4447613666571151,1.261478066444397,265.53839111328125,1.656036138534546,
1150805012,0.14000000059604645,1.156100019812584,0.20754131668989007,4.102918258267458e+19,-366487.7497881277,0.3927311895440244,1.2634879350662231,3475.45947265625,1.5913338661193848,
1150805012,0.1599999964237213,1.136100023984909,0.21451635632439592,4.159303208281519e+19,-387812.90625,0.3675652747202349,1.2565479278564453,3163.438720703125,1.5404703617095947,
1150805012,0.17999999225139618,1.1161000281572342,0.2155037522491285,4.2139983393890025e+19,-409773.695049445,0.34934517763676354,1.2719790935516357,3684.577880859375,1.527031421661377,
1150805012,0.20000000298023224,1.0961000174283981,0.21615707872092338,4.392045122326762e+19,-428626.5467236401,0.3458266853292935,1.276397466659546,5102.5341796875,1.5219104290008545,
1150805012,0.2199999988079071,1.0761000216007233,0.2173347323911316,4.7860701992954356e+19,-446726.3902105067,0.3481817543063913,1.2539818286895752,5872.8857421875,1.5358202457427979,
1150805012,0.23999999463558197,1.0561000257730484,0.21932062509950245,5.027618527100472e+19,-465787.0,0.35238853098608725,1.2372839450836182,6893.13671875,1.5415935516357422,
1150805012,0.25999999046325684,1.0361000299453735,0.21996404232073064,5.4391600270959804e+19,-487365.109375,0.3589350579432935,1.2098114490509033,8855.5029296875,1.5662591457366943,
1150805012,0.2800000011920929,1.0161000192165375,0.21847322577730766,5.855782756337173e+19,-489224.4846777198,0.3626829086977623,1.2186986207962036,10519.84765625,1.5689631700515747,
1150805012,0.29999998211860657,0.9961000382900238,0.2164395004534505,5.889828858044172e+19,-491404.171875,0.3713281751677755,1.2107845544815063,12544.490234375,1.5838931798934937,
1150805012,0.3199999928474426,0.9761000275611877,0.2157169133273792,6.138284259247517e+19,-493744.5625,0.3788659869337243,1.213060975074768,12845.513671875,1.600701928138733,
1150805012,0.3400000035762787,0.9561000168323517,0.215692132712087,6.31171637723156e+19,-494525.45301788376,0.3808113336567944,1.2290360927581787,12157.732421875,1.6112533807754517,
1150805012,0.35999998450279236,0.936100035905838,0.21509723366161548,6.431107793845003e+19,-494049.5,0.3829056023950379,1.2330459356307983,12633.15234375,1.6303761005401611,
1150805012,0.3799999952316284,0.916100025177002,0.21402841808680684,6.677355509049785e+19,-494824.2504748957,0.3827342987072925,1.2143102884292603,13579.373046875,1.6441937685012817,
1150805012,0.4000000059604645,0.8961000144481659,0.2131468206385152,6.838925297939645e+19,-495133.187807377,0.38241869212892904,1.2045525312423706,14063.37890625,1.6584910154342651,
1150805012,0.41999998688697815,0.8761000335216522,0.21314555406574812,6.915938094606167e+19,-493568.53125,0.37779813998513845,1.215595006942749,13719.1171875,1.6612497568130493,
1150805012,0.4399999976158142,0.8561000227928162,0.21403345468587287,7.040071944208814e+19,-493254.34405728546,0.3771216869450763,1.2329902648925781,12826.2841796875,1.660626769065857,
1150805012,0.4599999785423279,0.8361000418663025,0.21388456225624863,7.21266620036253e+19,-494038.21875,0.3845597804183001,1.246584177017212,13647.876953125,1.68723464012146,
1150805012,0.47999998927116394,0.8161000311374664,0.21299946305359074,7.145614046760272e+19,-495913.96865685546,0.3871624170794319,1.2448893785476685,13793.6240234375,1.723396897315979,
1150805012,0.5,0.7961000204086304,0.21283912659403517,7.031211712981031e+19,-494034.1639496127,0.38751238584665754,1.2681310176849365,13623.2275390625,1.7342385053634644,
1150805012,0.5199999809265137,0.7761000394821167,0.21350458267943218,8.046276755478862e+19,-489651.171875,0.39392438515471895,1.2819373607635498,17106.359375,1.7282445430755615,
1150805012,0.5399999618530273,0.756100058555603,0.2144746184038766,8.433382994826276e+19,-490747.171875,0.39133071908347006,1.247775912284851,19111.2578125,1.7115446329116821,
1150805012,0.5600000023841858,0.7361000180244446,0.21733835353653408,1.0198502601098445e+20,-497331.3431354291,0.41048717447031535,1.227204442024231,25773.365234375,1.6997215747833252,
1150805012,0.5799999833106995,0.7161000370979309,0.21649600563809734,1.153579451723247e+20,-501077.78125,0.40517991810537524,1.1952670812606812,28972.4375,1.7150641679763794,
1150805012,0.5999999642372131,0.6961000561714172,0.21501174576569682,1.1105600647449392e+20,-497319.03125,0.39318463158159034,1.1897164583206177,25950.84765625,1.7216073274612427,
1150805012,0.6200000047683716,0.6761000156402588,0.21837058658601993,9.3560766503054e+19,-478534.625,0.3643999100519082,1.2984544038772583,18922.681640625,1.6780656576156616,
1150805012,0.6399999856948853,0.6561000347137451,0.2195857614610901,9.789921341733829e+19,-488245.09375,0.38553848873272045,1.2977749109268188,25332.51171875,1.6747514009475708,
1150805012,0.6599999666213989,0.6361000537872314,0.21869924667085705,1.1274999568638162e+20,-501550.578125,0.3940143587819307,1.2703388929367065,26423.0234375,1.7039461135864258,
1150805012,0.6800000071525574,0.616100013256073,0.2163288294914949,9.833753178722786e+19,-498410.9375,0.37165820597960675,1.2602976560592651,22306.47265625,1.72092866897583,
